Nicotinic Acid	Pyridoxal	Pyridoxine	Dopamine	Leucine	Phenylalanine	Tryptophan	Isoleucine	Kynurenine	Methionine	Valine	Tyrosine	AABA	Alanine	Pyridoxamine	Threonine	Homoserine	Glycine	Glutamine	Glutamic acid	Serine	Asparagine	Citrulline	Agmatine	GABA	Cadaverine	Aspartic acid	Histidine	Arginine	Lysine	Proline	Ornithine
Blasche-S3_P3-G8	3704	622	1436	126	610996	167658	57691	275089	419	16957	324024	6133	4413	133124	1752	13698	203	1584	3163	24183	11765	1436	582	14653	1555	63148	1314	64180	195376	203584	47117	8471
Blasche-S3_P3-F4	4447	1421	75	205	738222	188855	60988	365695	379	15652	301310	4564	5682	118325	1200	18801	212	1564	1459	29359	11703	2443	654	8436	1694	64622	6441	43511	191476	165070	44892	6692
Blasche-S3_P3-H1	4033	636	1441	257	653618	177885	61333	317920	376	18672	354919	6412	4328	145580	1716	15750	158	1682	4822	25577	12717	1990	585	14686	1719	67491	1783	72003	208993	230951	49943	9911
QC_5	137267	749525	1222939	251351	1053914	273512	88429	592485	19054	19852	429188	12529	17702	189445	612034	2665	550	3257	1602	52496	950	16	3995	331412	27596	1204015	999	62471	258476	91746	58816	6025
Blasche-S3_P3-A10	3839	418	1427	156	660132	172610	64366	338960	378	13241	232621	4235	4962	104307	853	21874	288	1686	212	24070	14069	3318	665	3990	1514	61945	6252	34214	191643	165627	44681	7042
Blasche-S3_P3-D5	4171	331	1474	307	668057	172298	56709	322064	422	14090	265170	5069	6580	107920	463	20023	242	1666	879	28797	9748	2901	779	5937	1624	58318	5914	53421	200530	201338	45682	6370
Blasche-S3_P3-A6	4071	503	1396	204	629868	158083	58327	327644	381	12985	224146	4051	4646	96914	859	19906	242	1533	168	23098	13748	3083	674	4158	1463	60317	5971	33734	190565	160475	43809	6529
Blasche-S3_P3-H3	4283	643	1572	221	691332	190756	67229	332149	380	19940	375662	6885	4730	154258	1666	16519	185	1048	4717	27934	13583	2142	591	15026	1699	71686	1972	74405	215767	240684	51225	10348
Blasche-S3_P3-E8	4271	1589	81	141	730514	188587	59738	363117	387	15201	298675	4646	5713	112500	1164	18426	320	1682	1421	29043	11144	1897	583	6909	1611	63583	5894	42199	187606	156157	41730	6582
Blasche-S3_P3-H7	3976	715	1500	174	667318	184578	64505	321522	363	19378	364142	7076	5173	147388	1857	15214	247	1683	4078	25391	12633	1694	531	15176	1667	69025	1796	70149	202816	222429	47363	9463
QC_6	135450	730850	1231019	245392	1050979	265549	84495	589989	18399	19642	415817	11843	17177	188181	547546	2677	513	3257	1440	50018	944	154	3759	340352	27105	1193269	1073	59718	250923	88245	58499	5829
Blasche-S3_P3-A2	3987	522	1371	128	626538	155203	57617	325086	382	12377	218052	3968	4435	96162	927	19719	239	1617	229	22826	13415	3197	566	3755	1477	60050	6266	33784	188999	158850	44552	6671
Blasche-S3_P3-C7	4775	419	1476	188	690773	175468	58081	346769	381	14882	279971	5346	6983	113389	459	19541	216	1810	1312	30093	11159	3336	873	6548	1446	58261	6163	54979	203952	204270	46190	6481
Blasche-S3_P3-E6	4497	1245	174	227	705176	180378	58397	355279	387	14934	280888	4293	5507	110466	1111	17594	251	1712	1531	26615	11665	2313	654	7629	1660	65243	5457	38366	184041	155759	41507	6232
Blasche-S3_P3-G12	3911	738	1531	330	643568	175364	55728	254200	343	18064	340892	6451	4444	144661	1851	15694	251	1758	3397	26390	13244	1585	868	61313	1690	66183	1387	67615	202452	212930	49182	9098
Blasche-S3_P3-B5	3919	410	1421	283	612454	154535	57496	325091	369	12296	213826	3880	4262	94455	755	19453	265	1501	153	22174	13166	2821	643	3837	1407	58669	6206	32561	186706	154242	43669	6400
Blasche-S3_P3-A7	4101	545	1424	261	634497	158736	59573	332341	37	12813	221688	3944	4851	98665	852	20255	235	1541	225	23363	13334	3110	671	4057	1476	59636	6176	33714	190229	160739	43487	6635
QC_7	134240	729320	1209844	244014	1062151	266491	85700	592227	18285	19991	424970	12122	17342	187741	549240	2730	535	3119	1648	50256	1029	14	3783	343176	27317	1194149	1208	58237	256175	88354	58844	6005
Blasche-S3_P3-E5	4361	1074	128	234	709173	178923	58088	352889	365	14895	286066	4276	5434	109892	1120	17234	251	1579	1341	26252	11628	2492	614	7362	1486	64212	5690	40677	188075	154629	43174	6620
Blasche-S3_P3-C8	4876	452	1440	274	683202	174234	57257	326026	407	14338	277572	5191	6155	112416	426	19154	192	1726	1223	29225	10796	2780	760	6846	1314	59640	6220	55797	203900	203005	46707	6419
Blasche-S3_P3-F9	4180	1508	86	196	707879	180869	58147	355475	428	14861	292199	4394	5198	109348	1083	17965	184	1591	1293	26844	10458	2059	611	7450	1407	60996	5944	42507	182625	154160	41000	6226
Blasche-S3_P3-G7	3722	751	1479	196	624606	169009	60212	296853	365	17877	338774	6269	4884	139414	1660	14900	181	1568	3373	25825	12521	1566	511	14978	1669	65195	1270	67773	201620	210673	47346	9160
Blasche-S3_P3-A3	4291	404	1404	271	682197	172532	65120	357128	433	13535	242327	4412	5657	107255	886	22806	320	1751	140	26084	14840	3557	815	4071	1702	64327	6899	36358	203357	175788	46960	7234
Blasche-S3_P3-E11	4128	1517	72	166	727365	187561	60723	365125	421	15063	297444	4517	5425	112378	1051	18270	230	1669	1282	28468	11246	1968	633	6906	1509	63227	5829	42043	188095	158313	43120	6621
QC_8	135428	728106	1225554	249763	1053128	253739	84762	594093	17967	20102	422889	11959	17911	187048	548324	2756	517	3175	1595	49342	889	153	3754	340409	26953	1192085	920	58746	255575	87859	59594	5906
Blasche-S3_P3-B9	4042	402	1273	202	627940	156333	57967	317322	275	12492	220643	4082	4902	97803	689	19619	217	1628	53	23094	13471	2969	714	4146	1597	60226	6085	33137	191410	159479	44314	6758
Blasche-S3_P3-G9	3777	650	1501	170	624502	174549	60939	285957	384	18190	335410	6210	4955	140258	1692	14806	231	1590	3405	25456	12484	1554	536	14593	1681	66605	1164	65910	199797	209665	47898	8876
Blasche-S3_P3-D12	5469	428	1469	290	691789	173462	59049	322030	355	14370	266686	4964	6896	110776	309	20344	317	1663	1059	29491	10061	3064	655	6059	1526	59053	5879	55019	208381	205399	47967	6662
Blasche-S3_P3-G2	4080	626	1469	185	647728	183060	64481	313991	399	18922	347112	6581	5237	145012	1478	16303	236	1710	4242	26780	13024	2424	635	12383	1789	67131	1769	70410	206341	224932	49724	10013
Blasche-S3_P3-G6	3903	568	1528	251	638990	177279	62832	290721	366	18081	338529	6056	4874	141273	1373	16075	206	1627	4159	25804	12732	2230	580	12201	1581	67205	1570	66557	204538	218787	48133	9454
Blasche-S3_P3-A9	4352	518	1439	186	665171	169982	64188	354977	404	13397	238733	4309	5447	105112	858	22006	270	1598	123	25169	14480	3473	780	4125	1648	62477	6906	35349	201204	171263	46831	7475
QC_9	137344	749359	1224482	243889	1056465	275675	87856	594965	18717	19819	427696	12361	17934	187716	547101	2648	534	3134	1722	51140	961	175	3709	350293	28209	1211451	963	60312	259071	89176	57620	5957
Blasche-S3_P3-D1	5329	305	1654	228	702897	183397	62751	335399	390	14907	275123	5454	6781	113794	457	21250	327	1899	946	31687	10517	3309	708	5088	1617	56517	6592	51155	200034	203934	44796	6944
Blasche-S3_P3-F7	4286	1558	104	345	718310	189143	60987	358785	360	15298	296074	4679	5620	109709	1093	18516	241	1526	1178	28088	10532	1919	510	7185	1448	60040	5638	44503	177810	150758	39051	6291
Blasche-S3_P3-F3	4361	1530	111	156	711328	185184	60340	354363	320	15572	290448	4638	5441	110000	1087	18131	244	1589	1481	27523	11038	2127	523	8317	1499	61464	5964	42445	179964	153981	40234	6143
Blasche-S3_P3-D11	5641	425	1544	411	691362	179255	60983	323171	413	14810	274963	5314	7314	113222	368	21149	260	1809	611	30037	10449	3436	822	5831	1480	58433	6424	51107	206304	206315	47947	6995
Blasche-S3_P3-H2	4061	765	1520	209	650217	180078	62903	312655	393	18627	349648	6640	4585	138144	1789	15017	214	1668	4480	25219	11973	2058	586	14378	1801	67708	1895	70649	200923	220610	48010	9656
Blasche-S3_P3-A8	4016	525	1379	252	647424	164989	62386	343452	369	12787	228882	4212	5197	100077	917	21486	302	1623	174	23843	14099	3240	806	4183	1654	61264	6713	36377	191722	163605	43519	6897
QC_10	135645	725859	1223081	253364	1053833	265538	85222	592692	18411	19924	422184	11991	17397	183287	531323	2595	559	3111	1528	49785	1050	214	3490	337250	26882	1179590	1062	60125	251965	89476	58277	5886
Blasche-S3_P3-G10	3905	842	1478	168	646634	180780	63385	312116	337	18683	345871	6399	4498	144833	1897	15278	203	1696	3187	26531	12821	1581	582	14583	1658	64919	1396	71144	203421	216477	48556	9401
Blasche-S3_P3-B10	4127	633	1378	206	622812	157441	58862	314573	411	12631	222330	4153	4870	96569	785	19391	287	1516	187	22125	13617	3146	649	4076	1466	59821	6253	34922	186128	157758	42842	6631
Blasche-S3_P3-F2	4409	1100	116	253	746383	190547	60916	359809	219	15904	303835	4601	5661	116565	1030	18657	248	1613	1588	28824	11639	2338	696	8027	1662	63326	6086	43570	188758	161128	42588	6444
Blasche-S3_P3-D2	5574	501	1574	229	690473	173785	58508	322634	391	14293	268203	4978	6309	111149	372	20015	301	1657	960	29908	10072	3398	791	5780	1667	59247	6400	55730	205365	207136	45580	7091
Blasche-S3_P3-B8	4104	534	1441	184	627573	159506	60106	320247	325	12556	224016	3953	4738	98285	927	20195	244	1639	133	22772	13421	3117	695	4045	1373	59335	6199	35452	189177	160033	43501	6897
Blasche-S3_P3-C9	4704	489	1495	389	709081	180576	59760	339825	408	14884	282903	5677	6579	118093	300	19660	241	1836	1378	31145	11052	3186	774	6696	1506	58998	5959	57448	204940	210324	46682	6734
QC_11	137645	713653	1196080	258469	1059002	267211	85381	604139	18668	19933	426443	12122	17287	188767	580535	3133	584	3159	1528	50958	1240	82	4027	327397	26439	1172630	1107	64610	254945	93378	59517	6034
Blasche-S3_P3-D3	5710	647	1621	389	700741	173026	57754	328506	434	13765	274441	5134	6547	115578	512	20203	244	1694	869	30200	10134	2901	673	5635	1540	60643	6172	59077	202279	205791	46462	6739
Blasche-S3_P3-G4	4313	821	1879	560	675082	188663	67363	333777	543	19012	358115	7058	5154	153296	1612	18039	233	1617	4604	28401	14045	2524	724	12833	1885	70719	1877	79529	212070	232635	49114	10066
Blasche-S3_P3-H6	3998	609	1648	336	664005	184639	64531	325179	385	19106	360223	6743	5106	147262	1663	16392	227	1639	4371	26015	12954	2095	643	14402	1649	69862	2044	73941	205673	227484	50764	9602
Blasche-S3_P3-C10	4961	671	1890	555	727536	189746	63178	370344	594	14961	299102	5839	7021	125535	497	22305	273	2116	1357	32446	11937	3334	830	7301	1485	63676	6655	65129	212340	219799	48378	7073
Blasche-S3_P3-B11	4077	629	1707	421	632752	159380	58926	333557	570	12307	224352	4108	4910	100235	861	20602	288	1488	120	23289	13692	3046	796	4418	1557	61721	6132	38208	186532	158639	43483	6581
Blasche-S3_P3-H8	3977	706	1884	525	684496	192084	65644	343563	577	19718	375871	7241	5056	157622	2186	16379	196	1896	4008	27428	13655	1765	699	14901	1779	70142	1731	79733	208695	232144	50631	9831
QC_12	137747	714384	1193909	257697	1061197	270056	85765	604398	18615	19758	434245	12508	16613	190468	515486	3255	599	3177	1779	51630	1412	85	3885	341016	26980	1179688	1193	63984	251334	94646	59266	6083
Blasche-S3_P3-B1	5262	711	1912	158	808444	204539	79854	439794	562	16110	294343	5731	6798	136318	820	29886	347	2306	342	33934	18919	4774	1084	4751	1678	69140	8964	44293	229173	211092	53920	8966
Blasche-S3_P3-D6	5563	704	1815	328	704576	178127	59399	345607	590	14449	279015	5599	6582	116939	584	21017	281	1845	971	31049	10822	3358	772	5862	1575	61715	6261	60456	204829	211881	48186	7053
Blasche-S3_P3-D4	5769	653	1900	469	706198	179680	59835	351394	582	14293	283398	5445	6656	119131	527	21338	382	1816	1001	31112	10833	3386	987	6054	1155	62303	6269	62203	208020	213884	47980	7225
Blasche-S3_P3-D8	5255	753	1844	497	694858	177618	59917	341651	582	14227	278164	5331	6627	115783	580	20494	318	1710	770	29961	10877	3312	782	6077	1541	58780	6024	60017	205191	206634	47207	6016
Blasche-S3_P3-B2	4242	689	1738	366	683819	172271	65296	363094	560	13358	243939	4599	5323	108716	883	22372	294	1886	111	26724	15247	3548	862	4321	1480	64424	6873	40335	201979	173966	46781	7458
Blasche-S3_P3-H4	3972	748	1586	415	644269	176674	60968	313168	509	18544	346245	6630	4928	142742	1652	15446	201	1750	4208	24928	12443	1987	588	14186	1785	67189	1997	73974	202113	220392	46785	9413
QC_13	139385	726547	1228767	255932	1048248	274744	87766	597815	18800	19841	426708	12110	17309	189324	529636	3155	582	3383	1508	51931	1434	111	3654	345605	27388	1189653	1052	62868	254165	92550	56117	5983
Blasche-S3_P3-B12	3791	539	1642	401	655138	173712	64507	340552	536	13083	232719	4237	4928	104021	986	21788	256	1694	207	24648	14830	3401	778	4612	1532	62141	6676	38889	192215	163784	42904	6845
Blasche-S3_P3-B3	3997	667	1695	393	601849	153483	55874	315153	503	11871	213070	3887	4375	94544	891	19029	358	1523	160	21934	12734	2793	743	4221	1602	60050	5722	36026	181938	151590	41882	6469
Blasche-S3_P3-F6	4455	1706	308	270	732081	191465	60835	370298	429	15701	301145	4751	5964	117077	1207	18823	260	1667	1441	28329	11700	2430	549	8270	1753	64868	5910	44992	188446	161325	43466	6672
Blasche-S3_P3-E9	4081	1586	361	296	711775	183630	58545	357943	458	14775	290895	4468	5588	112883	1110	18477	282	1583	1317	26330	10818	1976	531	7079	1380	63534	5443	43589	182097	151561	40963	6110
Blasche-S3_P3-D9	5563	611	1853	500	704835	181678	61459	334062	523	14476	279503	5206	7151	117611	470	21767	306	1642	928	31004	10802	3538	960	6369	1488	61511	6455	60968	209041	210322	47421	7142
Blasche-S3_P3-B6	3961	628	1642	389	622373	158400	58299	328663	479	12305	218785	3929	4710	96660	881	19566	225	1556	110	22462	13395	2797	640	4449	1531	61335	6012	36859	186352	156441	42377	6750
QC_14	133397	687340	1200294	255104	1042974	265355	83381	594555	18413	19590	425338	12061	17700	186324	530939	2906	483	3077	1550	50109	1081	42	3517	345214	26455	1186328	992	60993	255280	90348	58417	5911
Blasche-S3_P3-F5	4507	1699	393	401	747932	193176	60637	380121	511	15740	311470	4831	5776	122432	1374	19319	250	1704	1559	29387	11913	2461	701	8448	1573	67119	5993	46553	190843	164327	44213	6722
Blasche-S3_P3-F1	4327	1606	332	355	717550	185295	59126	349895	492	15627	294967	4550	5020	115724	1288	17904	153	1622	1348	27486	10960	2225	573	8530	1580	63700	5651	43944	185449	158481	43868	6527
Blasche-S3_P3-A1	4539	536	1791	340	684523	175596	65020	369194	522	13682	245951	4617	5373	110473	1200	23225	300	1677	164	26112	15461	3478	909	4403	1617	64339	6497	38270	199908	173727	47134	7482
Blasche-S3_P3-C11	4914	602	1693	452	731634	189605	63210	373562	505	15506	298488	5993	7393	126544	410	21389	316	2013	1390	32527	12271	3468	970	7422	1510	63681	6615	62777	214054	220988	49021	7183
Blasche-S3_P3-C12	4963	615	1731	466	746220	190343	62491	356931	494	15419	302142	6089	7320	125892	509	21443	279	1999	1363	32620	11804	3231	938	7725	1389	63589	6590	62858	214307	221298	48087	7251
Blasche-S3_P3-F10	4321	1734	292	312	756333	198146	63017	390650	490	15915	316879	4953	5714	122594	1216	20938	241	1847	981	30328	12024	2230	740	8265	1516	65675	6220	46610	193059	165707	43383	6947
QC_15	137731	709427	1184462	248869	1040099	266102	84793	600131	18123	19919	422531	12287	15756	189512	540276	3019	518	3075	1816	50840	1264	60	3511	342290	26510	1173097	1088	61346	254245	91693	59597	6175
Blasche-S3_P3-E1	4196	1200	349	426	699795	179620	56588	355016	442	15294	280649	4345	5900	112382	1151	17954	293	1518	816	25654	11319	2286	639	7791	1496	64193	5714	42180	183850	155029	42767	6199
Blasche-S3_P3-A5	4346	665	1672	308	683189	172017	65044	369551	504	13650	242336	4370	5362	110258	1157	23160	279	1770	184	25976	15586	3672	812	4609	1509	64835	6857	39114	201473	173857	46477	7299
Blasche-S3_P3-B4	3970	580	1637	363	643598	163607	60621	336046	452	13017	231394	4224	5511	102319	895	21197	314	1659	266	24327	14112	3050	712	4359	1591	62259	6360	36404	194029	164930	45838	6989
Blasche-S3_P3-C4	5137	620	1833	443	735552	191103	64153	379937	482	15812	299204	5789	6502	126043	446	21354	299	2069	1454	32197	12261	3509	934	6273	1534	64197	6604	61563	213207	221421	49051	7060
Blasche-S3_P3-F8	4193	1648	239	315	734166	188428	59833	373161	473	15472	302868	4573	6090	116204	1200	18767	208	1650	1084	27976	10850	2082	561	7735	1681	63872	5950	44026	190157	159055	42152	6548
Blasche-S3_P3-A11	4370	808	1699	345	680004	171939	64809	364365	396	13520	242430	4368	5244	109371	916	22843	235	1846	309	25269	15040	3441	774	4533	1388	62402	6709	38070	200921	172031	46461	7212
QC_16	139135	714905	1218543	259425	1050641	253086	83295	601939	17879	19609	427313	11982	17385	187410	550106	2911	539	3164	1657	51022	1292	85	3676	345393	26381	1185290	1029	62074	253941	92677	60314	5940
Blasche-S3_P3-C2	4807	548	1708	381	699654	173575	56894	339047	389	14299	275276	5440	6240	112896	688	19080	263	1760	1460	28283	11481	2926	855	6272	1462	60216	5609	55837	204137	203823	47536	6691
Blasche-S3_P3-E4	4640	1251	339	303	743199	188073	60486	359628	445	14661	293511	4603	5864	118164	1338	18731	237	1578	1105	27190	11395	2384	572	7930	1628	66306	5812	43369	190307	160053	44880	6686
Blasche-S3_P3-H9	4727	1006	2003	364	764677	212198	75479	386794	510	22231	414948	7872	5934	180807	2039	18622	344	2258	4658	30918	15262	2024	769	16530	1735	79214	2246	85719	231008	260783	56076	11352
Blasche-S3_P3-G3	4276	542	1755	391	693917	193409	67250	326202	497	19892	363582	7056	5085	156256	1544	18052	293	1784	4229	28603	14032	2392	771	13506	1827	71214	1822	77152	216244	235925	51603	10485
Blasche-S3_P3-E2	4766	1364	269	307	756053	197222	64332	375216	490	15906	307026	4623	5710	124096	1145	19833	312	1858	1451	29295	12237	2538	700	8033	1633	68814	6321	43423	197736	168766	44357	6861
Blasche-S3_P3-A12	4020	546	1541	325	654528	163002	60606	331903	463	13024	228491	4198	4833	101549	948	21265	302	1566	161	22993	14251	3400	659	4288	1342	63168	6334	35948	193478	162467	45023	6875
QC_17	139158	718798	1230648	254653	1047918	262246	86456	597106	18825	20327	421779	12166	17094	186679	514587	2749	530	3125	1568	50361	1135	86	3383	349361	27076	1203707	1017	60357	256474	89737	57784	6100
